YR-001,19a589797e877378619da88002cc98b0b83a3c9c,YarReader,08e2250,2026-08-27,decomposed,v0.1.0,initialize strict TypeScript package and path authority
YR-002,40985255752903f563b3e3710ad70b0d46296b89,YarReader,08e2250,2026-08-27,decomposed,v0.1.0,define validated catalog schema and persistence
YR-003,b54c847b4122a521239971177324b0ea19dd1ea2,YarReader,08e2250,2026-08-27,decomposed,v0.1.0,add deterministic ZIP primitives
YR-004,9ae971dc43c36bfaddc22f4433ac90d21189c9e1,YarReader,08e2250,2026-08-27,decomposed,v0.1.0,add publication adapters and inspection contracts
YR-005,ae91f09991c843df598c837387e992da262fcf36,YarReader,08e2250,2026-08-27,decomposed,v0.1.0,add stable recursive source discovery
YR-006,f458565951926ab7d19de2f32e6c186114989b2a,YarReader,08e2250,2026-08-27,decomposed,v0.2.0,add classification proposal model and review state
YR-007,15f9f4607a65952a0bf8c76fd3c1553fe811c57e,YarReader,08e2250,2026-08-27,decomposed,v0.2.0,add deterministic proposal reuse and alternate releases
YR-008,08f916400318990457c254ced2432e17fc1033fd,YarReader,08e2250,2026-08-27,decomposed,v0.2.0,add multi-unit manifests and nested archive inspection
YR-009,234c299d8fda80f831be45d1cd956226c84ac049,YarReader,08e2250,2026-08-27,decomposed,v0.2.0,add classification regression coverage
YR-010,ee2b2f206fd713ca86497da085152410a9a60f45,YarReader,08e2250,2026-08-27,decomposed,v0.3.0,add normalized release page profile
YR-011,cdca830fa1f9c9f9747f1a5d426534171e922f2,YarReader,08e2250,2026-08-27,decomposed,v0.3.0,add archive transaction preparation
YR-012,66e539cb681a28a152cff92031f5df5fe6ca834d,YarReader,08e2250,2026-08-27,decomposed,v0.3.0,add verified archive commit and recovery
YR-013,3f9d4aa48725d8d3fed22e44e6995ee96bbca313,YarReader,08e2250,2026-08-27,decomposed,v0.3.0,add normalization and archive tests
YR-014,04bc1252f975ff5e2f87d5777ffcb44aac0ade19,YarReader,08e2250,2026-08-27,decomposed,v0.4.0,add immutable static export generations
YR-015,a2f2e46597862130feb449176f2574199db1454e,YarReader,08e2250,2026-08-27,decomposed,v0.4.0,add export validation and activation recovery
YR-016,662a78b15a12f36618bc002299034e321dcb42c9,YarReader,08e2250,2026-08-27,decomposed,v0.4.0,add update orchestration
YR-017,40d1d0fbc2bde493d9680caea9af78c993c9570a,YarReader,08e2250,2026-08-27,decomposed,v0.4.0,add operator CLI
YR-018,ca10d57c9e8ada8bb93d068ad7e17430ee55ddca,YarReader,08e2250,2026-08-27,decomposed,v0.4.0,add export and pipeline coverage
YR-019,dc1a6bf2dbd74bf9829a8b8b1e64a862a854e6f8,YarReader,08e2250,2026-08-27,decomposed,v0.5.0,add acquisition manifests and staged-file adapter
YR-020,94f69ced2846bd0fe7da52bccf79ffdcf7821238,YarReader,08e2250,2026-08-27,decomposed,v0.5.0,add browser HTTP and page-manifest acquisition
YR-021,ccff47b470b6c0594c8e915e49a3a56cc6998dcf,YarReader,08e2250,2026-08-27,decomposed,v0.5.0,prove archive rebuilds derived work and export
YR-022,5ca1d4ea8de6a02b8d565f40e33ee8d1a3d92972,YarReader,08e2250,2026-08-27,decomposed,v0.6.0,add read-only legacy inventory
YR-023,ce73f8ba1eafc718a934520994b032f805229209,YarReader,08e2250,2026-08-27,decomposed,v0.6.0,add non-destructive legacy migration
YR-024,2a10f4e20b92ff7bf66a5e7ce9944f5cfa88e85a,YarReader,08e2250,2026-08-27,decomposed,v0.6.0,add legacy comparison and recovery labels
YR-025,cbcd588dd18dbbd76cdf1d139d037f004a53f9c8,YarReader,08e2250,2026-08-27,decomposed,v0.6.0,add migration and runtime boundary coverage
